"OCC_CODE","TITLE","OCC_GROUP","TOTAL_EMPLOYEES","SALARY","YEAR","OCC_CODE_SHORT"
"29_2021","Dental Hygienists","",168600,64910,2007,"29"
"29_2091","Orthotists And Prosthetists","",5600,64280,2007,"29"
"19_2041","Environmental Scientists And Specialists, Including Health","",80070,63870,2007,"19"
"25_1192","Home Economics Teachers, Postsecondary","",4770,63790,2007,"25"
"29_1127","Speech-language Pathologists","",103810,63740,2007,"29"
"29_1181","Audiologists","",11360,63660,2007,"29"
"19_1041","Epidemiologists","",3960,63600,2007,"19"
"13_2011","Accountants And Auditors","",1115010,63180,2007,"13"
"53_4011","Locomotive Engineers","",41760,63180,2007,"53"
"51_8012","Power Distributors And Dispatchers","",9410,63100,2007,"51"
"19_1013","Soil And Plant Scientists","",10270,62970,2007,"19"
"13_2041","Credit Analysts","",70890,62820,2007,"13"
"27_3042","Technical Writers","",46740,62780,2007,"27"
"53_5021","Captains, Mates, And Pilots Of Water Vessels","",30540,62720,2007,"53"
"13_2072","Loan Officers","",356990,62610,2007,"13"
"19_1012","Food Scientists And Technologists","",9910,62580,2007,"19"
"25_1124","Foreign Language And Literature Teachers, Postsecondary","",25100,62540,2007,"25"
"33_3021","Detectives And Criminal Investigators","",103320,62500,2007,"33"
"29_1141","Registered Nurses","",2468340,62480,2007,"29"
"13_0000","Business And Financial Operations Occupations","major",6015500,62410,2007,"13"
"17_1012","Landscape Architects","",21890,62250,2007,"17"
"13_1199","Business Operations Specialists, All Other","",1017640,62140,2007,"13"
"19_0000","Life, Physical, And Social Science Occupations","major",1255670,62020,2007,"19"
"13_2099","Financial Specialists, All Other","",136570,61760,2007,"13"
"25_1126","Philosophy And Religion Teachers, Postsecondary","",18140,61700,2007,"25"
"53_5031","Ship Engineers","",13710,61680,2007,"53"
"53_4031","Railroad Conductors And Yardmasters","",37540,61480,2007,"53"
"29_9011","Occupational Health And Safety Specialists","",46460,61310,2007,"29"
"27_4032","Film And Video Editors","",17410,61180,2007,"27"
"25_1113","Social Work Teachers, Postsecondary","",7510,61140,2007,"25"
"15_2099","Mathematical Scientists, All Other","",6930,61100,2007,"15"
"25_1121","Art, Drama, And Music Teachers, Postsecondary","",73890,61050,2007,"25"
"11_9011","Farm, Ranch, And Other Agricultural Managers","",3480,61030,2007,"11"
"27_1014","Multi-media Artists And Animators","",29440,61010,2007,"27"
"25_1072","Nursing Instructors And Teachers, Postsecondary","",42660,60850,2007,"25"
"29_2032","Diagnostic Medical Sonographers","",46770,60590,2007,"29"
"25_1123","English Language And Literature Teachers, Postsecondary","",60910,60580,2007,"25"
"27_1021","Commercial And Industrial Designers","",34800,60540,2007,"27"
"19_3051","Urban And Regional Planners","",35040,60480,2007,"19"
"41_4012","Sales Representatives, Wholesale And Manufacturing, Except Technical And Scientific Products","",1505930,60190,2007,"41"
"13_2053","Insurance Underwriters","",98920,60120,2007,"13"
"27_3043","Writers And Authors","",44310,60120,2007,"27"
"25_1082","Library Science Teachers, Postsecondary","",4080,59690,2007,"25"
"47_1011","First-line Supervisors/managers Of Construction Trades And Extraction Workers","",577130,59360,2007,"47"
"25_1081","Education Teachers, Postsecondary","",54420,59250,2007,"25"
"11_9151","Social And Community Service Managers","",112330,59070,2007,"11"
"13_1051","Cost Estimators","",219070,58640,2007,"13"
"25_1122","Communications Teachers, Postsecondary","",23690,58610,2007,"25"
"41_3021","Insurance Sales Agents","",321920,58580,2007,"41"
"19_1023","Zoologists And Wildlife Biologists","",17830,58480,2007,"19"
"49_2095","Electrical And Electronics Repairers, Powerhouse, Substation, And Relay","",23320,58200,2007,"49"
"25_9031","Instructional Coordinators","",117940,58070,2007,"25"
"11_9131","Postmasters And Mail Superintendents","",26500,57850,2007,"11"
"11_9061","Funeral Directors","",24020,57660,2007,"11"
"25_1193","Recreation And Fitness Studies Teachers, Postsecondary","",17500,57540,2007,"25"
"25_1111","Criminal Justice And Law Enforcement Teachers, Postsecondary","",11110,57510,2007,"25"
"41_3099","Sales Representatives, Services, All Other","",556430,57480,2007,"41"
"49_1011","First-line Supervisors/managers Of Mechanics, Installers, And Repairers","",443790,57400,2007,"49"
"19_1031","Conservation Scientists","",16570,57220,2007,"19"
"27_3031","Public Relations Specialists","",225880,57100,2007,"27"
"53_6051","Transportation Inspectors","",24130,57050,2007,"53"
