"OCC_CODE","TITLE","OCC_CODE_SHORT"
"49_9098","Helpers--installation, Maintenance, And Repair Workers","49"
"47_3014","Helpers--painters, Paperhangers, Plasterers, And Stucco Masons","47"
"47_3015","Helpers--pipelayers, Plumbers, Pipefitters, And Steamfitters","47"
"51_9198","Helpers--production Workers","51"
"47_3016","Helpers--roofers","47"
"47_3019","Helpers, Construction Trades, All Other","47"
"47_4051","Highway Maintenance Workers","47"
"19_3093","Historians","19"
"25_1125","History Teachers, Postsecondary","25"
"53_7041","Hoist And Winch Operators","53"
"49_9031","Home Appliance Repairers","49"
"25_1192","Home Economics Teachers, Postsecondary","25"
"31_1011","Home Health Aides","31"
"35_9031","Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","35"
"43_4081","Hotel, Motel, And Resort Desk Clerks","43"
"43_4161","Human Resources Assistants, Except Payroll And Timekeeping","43"
"11_3121","Human Resources Managers","11"
"11_3049","Human Resources Managers, All Other","11"
"13_1079","Human Resources, Training, And Labor Relations Specialists, All Other","13"
"13_1078","Human Resources, Training, And Labor Relations Specialists, All Other","13"
"19_2043","Hydrologists","19"
"19_3032","Industrial-organizational Psychologists","19"
"17_3026","Industrial Engineering Technicians","17"
"17_2112","Industrial Engineers","17"
"49_9041","Industrial Machinery Mechanics","49"
"11_3051","Industrial Production Managers","11"
"53_7051","Industrial Truck And Tractor Operators","53"
"15_1122","Information Security Analysts","15"
"15_1179","Information Security Analysts, Web Developers, And Computer Network Architects","15"
"51_9061","Inspectors, Testers, Sorters, Samplers, And Weighers","51"
"49_9099","Installation, Maintenance, And Repair Workers, All Other","49"
"49_9799","Installation, Maintenance, And Repair Workers, All Other","49"
"25_9031","Instructional Coordinators","25"
"47_2131","Insulation Workers, Floor, Ceiling, And Wall","47"
"47_2132","Insulation Workers, Mechanical","47"
"13_1032","Insurance Appraisers, Auto Damage","13"
"43_9041","Insurance Claims And Policy Processing Clerks","43"
"41_3021","Insurance Sales Agents","41"
"13_2053","Insurance Underwriters","13"
"27_1025","Interior Designers","27"
"29_1063","Internists, General","29"
"27_3091","Interpreters And Translators","27"
"43_4111","Interviewers, Except Eligibility And Loan","43"
"37_2011","Janitors And Cleaners, Except Maids And Housekeeping Cleaners","37"
"51_9071","Jewelers And Precious Stone And Metal Workers","51"
"51_5021","Job Printers","51"
"23_1023","Judges, Magistrate Judges, And Magistrates","23"
"23_1012","Judicial Law Clerks","23"
"25_2012","Kindergarten Teachers, Except Special Education","25"
"13_1075","Labor Relations Specialists","13"
"53_7062","Laborers And Freight, Stock, And Material Movers, Hand","53"
"17_1012","Landscape Architects","17"
"37_3011","Landscaping And Groundskeeping Workers","37"
"51_4034","Lathe And Turning Machine Tool Setters, Operators, And Tenders, Metal And Plastic","51"
"51_6011","Laundry And Dry-cleaning Workers","51"
"23_2092","Law Clerks","23"
"25_1112","Law Teachers, Postsecondary","25"
"23_1011","Lawyers","23"
"51_4192","Lay-out Workers, Metal And Plastic","51"
"43_6012","Legal Secretaries","43"
"23_2099","Legal Support Workers, All Other","23"
"11_1031","Legislators","11"
"25_4021","Librarians","25"
"43_4121","Library Assistants, Clerical","43"
"25_1082","Library Science Teachers, Postsecondary","25"
"25_4031","Library Technicians","25"
"29_2061","Licensed Practical And Licensed Vocational Nurses","29"
"19_1099","Life Scientists, All Other","19"
"19_4099","Life, Physical, And Social Science Technicians, All Other","19"
"33_9092","Lifeguards, Ski Patrol, And Other Recreational Protective Service Workers","33"
"53_7033","Loading Machine Operators, Underground Mining","53"
"13_2071","Loan Counselors","13"
"43_4131","Loan Interviewers And Clerks","43"
"13_2072","Loan Officers","13"
"39_3093","Locker Room, Coatroom, And Dressing Room Attendants","39"
"49_9094","Locksmiths And Safe Repairers","49"
"53_4011","Locomotive Engineers","53"
"53_4012","Locomotive Firers","53"
"11_9081","Lodging Managers","11"
"45_4023","Log Graders And Scalers","45"
"45_4022","Logging Equipment Operators","45"
"45_4029","Logging Workers, All Other","45"
"13_1081","Logisticians","13"
"53_7063","Machine Feeders And Offbearers","53"
"51_4041","Machinists","51"
"29_2035","Magnetic Resonance Imaging Technologists","29"
"37_2012","Maids And Housekeeping Cleaners","37"
"43_9051","Mail Clerks And Mail Machine Operators, Except Postal Service","43"
"49_9042","Maintenance And Repair Workers, General","49"
"49_9071","Maintenance And Repair Workers, General","49"
"49_9043","Maintenance Workers, Machinery","49"
"39_5091","Makeup Artists, Theatrical And Performance","39"
"13_1111","Management Analysts","13"
"11_9199","Managers, All Other","11"
"39_5092","Manicurists And Pedicurists","39"
"49_9095","Manufactured Building And Mobile Home Installers","49"
"17_2121","Marine Engineers And Naval Architects","17"
"19_3021","Market Research Analysts","19"
"13_1161","Market Research Analysts And Marketing Specialists","13"
"11_2021","Marketing Managers","11"
"21_1013","Marriage And Family Therapists","21"
"31_9011","Massage Therapists","31"
"53_7199","Material Moving Workers, All Other","53"
"17_2131","Materials Engineers","17"
"19_2032","Materials Scientists","19"
"25_1022","Mathematical Science Teachers, Postsecondary","25"
"15_2099","Mathematical Scientists, All Other","15"
"15_2091","Mathematical Technicians","15"
"15_2021","Mathematicians","15"
"51_3022","Meat, Poultry, And Fish Cutters And Trimmers","51"
"49_9011","Mechanical Door Repairers","49"
"17_3013","Mechanical Drafters","17"
"17_3027","Mechanical Engineering Technicians","17"
"17_2141","Mechanical Engineers","17"
"27_4099","Media And Communication Equipment Workers, All Other","27"
"27_3099","Media And Communication Workers, All Other","27"
"29_2012","Medical And Clinical Laboratory Technicians","29"
"29_2011","Medical And Clinical Laboratory Technologists","29"
"11_9111","Medical And Health Services Managers","11"
"21_1022","Medical And Public Health Social Workers","21"
"51_9082","Medical Appliance Technicians","51"
"31_9092","Medical Assistants","31"
"31_9093","Medical Equipment Preparers","31"
"49_9062","Medical Equipment Repairers","49"
"29_2071","Medical Records And Health Information Technicians","29"
"19_1042","Medical Scientists, Except Epidemiologists","19"
"43_6013","Medical Secretaries","43"
"31_9094","Medical Transcriptionists","31"
"13_1121","Meeting And Convention Planners","13"
"21_1023","Mental Health And Substance Abuse Social Workers","21"
"21_1014","Mental Health Counselors","21"
"27_1026","Merchandise Displayers And Window Trimmers","27"
"51_4051","Metal-refining Furnace Operators And Tenders","51"
"51_4199","Metal Workers And Plastic Workers, All Other","51"
"43_5041","Meter Readers, Utilities","43"
"19_1022","Microbiologists","19"
"25_2022","Middle School Teachers, Except Special And Vocational Education","25"
"51_4035","Milling And Planing Machine Setters, Operators, And Tenders, Metal And Plastic","51"
"49_9044","Millwrights","49"
"47_5042","Mine Cutting And Channeling Machine Operators","47"
"17_2151","Mining And Geological Engineers, Including Mining Safety Engineers","17"
"47_5049","Mining Machine Operators, All Other","47"
"51_9023","Mixing And Blending Machine Setters, Operators, And Tenders","51"
"49_3042","Mobile Heavy Equipment Mechanics, Except Engines","49"
"51_4061","Model Makers, Metal And Plastic","51"
"51_7031","Model Makers, Wood","51"
"41_9012","Models","41"
"51_9195","Molders, Shapers, And Casters, Except Metal And Plastic","51"
"51_4072","Molding, Coremaking, And Casting Machine Setters, Operators, And Tenders, Metal And Plastic","51"
"39_4031","Morticians, Undertakers, And Funeral Directors","39"
"39_3021","Motion Picture Projectionists","39"
"53_3099","Motor Vehicle Operators, All Other","53"
"49_3051","Motorboat Mechanics","49"
"53_5022","Motorboat Operators","53"
"49_3052","Motorcycle Mechanics","49"
"27_1014","Multi-media Artists And Animators","27"
"51_4081","Multiple Machine Tool Setters, Operators, And Tenders, Metal And Plastic","51"
"25_4013","Museum Technicians And Conservators","25"
"27_2041","Music Directors And Composers","27"
"49_9063","Musical Instrument Repairers And Tuners","49"
"27_2042","Musicians And Singers","27"
"11_9121","Natural Sciences Managers","11"
"15_1071","Network And Computer Systems Administrators","15"
"15_1142","Network And Computer Systems Administrators","15"
"15_1081","Network Systems And Data Communications Analysts","15"
"43_4141","New Accounts Clerks","43"
"39_2021","Nonfarm Animal Caretakers","39"
"17_2161","Nuclear Engineers","17"
"29_2033","Nuclear Medicine Technologists","29"
"51_8011","Nuclear Power Reactor Operators","51"
"19_4051","Nuclear Technicians","19"
"51_4012","Numerical Tool And Process Control Programmers","51"
"29_1151","Nurse Anesthetists","29"
"29_1161","Nurse Midwives","29"
"29_1171","Nurse Practitioners","29"
"31_1012","Nursing Aides, Orderlies, And Attendants","31"
"31_1014","Nursing Assistants","31"
"25_1072","Nursing Instructors And Teachers, Postsecondary","25"
"29_1064","Obstetricians And Gynecologists","29"
"29_9011","Occupational Health And Safety Specialists","29"
"29_9012","Occupational Health And Safety Technicians","29"
"31_2012","Occupational Therapist Aides","31"
"31_2011","Occupational Therapist Assistants","31"
"29_1122","Occupational Therapists","29"
"43_9199","Office And Administrative Support Workers, All Other","43"
"43_9799","Office And Administrative Support Workers, All Other","43"
"43_9061","Office Clerks, General","43"
